episode,reward,loss,epsilon,total_steps
0,-55.41401273885424,0.16185368987949794,0.9128799999999666,1000
1,-55.9322033898313,0.1420503721231071,0.8228799999999321,2000
2,-52.380952380953104,0.13818246756578445,0.7328799999998976,3000
3,-52.55474452554824,0.13638922761351568,0.6428799999998631,4000
4,-60.00000000000083,0.139059437281423,0.5528799999998286,5000
5,-52.53164556962111,0.1267173368275835,0.46287999999981705,6000
6,-55.1820728291325,0.11532118126004934,0.37287999999983806,7000
7,-14.191419141914265,0.14015287140101282,0.2828799999998591,8000
8,-52.21843003413032,0.1439988519710314,0.19287999999986247,9000
9,-116.13797468354419,0.15436020882246296,0.12699999999985753,9732
10,-107.46119402985113,1.2980699847415549,0.1,10330
11,58.27338129496274,2.648398892121506,0.1,11330
12,-170.88135593220363,2.5008375628265838,0.1,12311
13,-20.415224913495475,1.935539112043567,0.1,13311
14,-27.152317880795504,1.4254948585764504,0.1,14311
15,83.52059925094102,0.7900010657852982,0.1,15311
16,5.350996015939927,1.92103523140228,0.1,16131
17,-26.82926829268374,1.4594117524332832,0.1,17131
18,-22.5806451612911,1.792809819923714,0.1,18131
19,-52.54237288135672,0.9121129986662417,0.1,19131
20,17.857142857144353,0.8504895540061407,0.1,20131
21,-3.114186851212055,0.6315161090260372,0.1,21131
22,-25.266903914591534,1.3013380686803722,0.1,22131
23,175.51020408163325,1.547598923514597,0.1,23131
24,38.18181818182122,0.9782571157645434,0.1,24131
25,-1.0238907849828192,0.856903258529026,0.1,25131
26,-32.038834951457076,1.1987584724663756,0.1,26131
27,-36.36363636363713,1.182815944374539,0.1,27131
28,-32.258064516129735,0.4588802597685717,0.1,28131
29,21.897101449276278,1.880848842500435,0.1,28471
30,-25.373134328359004,1.3713611089666373,0.1,29471
31,25.448028673835395,0.9423850918421521,0.1,30471
32,-26.421404682275035,1.066115679663606,0.1,31471
33,-39.93993993994072,0.6007175857843832,0.1,32471
34,-70.08421052631371,2.0808705155095906,0.1,33436
35,-28.81355932203469,1.2477140609975905,0.1,34436
36,47.72727272727629,0.627240554979071,0.1,35436
37,62.629757785471654,1.3333345432514325,0.1,36436
38,-32.692307692308475,0.7658284755330533,0.1,37436
39,-32.203389830509295,1.5045109515804798,0.1,38436
40,-25.266903914591534,0.9178430957626551,0.1,39436
41,-31.27147766323102,1.1667166274059564,0.1,40436
42,5.516975765118559e-13,0.5369329689480364,0.1,41436
43,-11.949685534591572,1.439190456563607,0.1,42436
44,73.07692307692781,1.622631281422451,0.1,43436
45,-34.32835820895598,1.0829153482504188,0.1,44436
46,111.32075471698576,0.8183426463324577,0.1,45436
47,48.387096774196586,0.6850908421762287,0.1,46436
48,50.81967213115135,1.6280710115358235,0.1,47436
49,137.34177215190365,0.9280299846045673,0.1,48436
50,136.74911660777815,1.0237759363558143,0.1,49436
51,6.761565836299029,1.2057114645093678,0.1,50436
52,64.33566433566388,1.168049410328269,0.1,51436
53,18.32061068702364,1.4704112835153937,0.1,52436
54,142.03821656051426,1.0409315882641823,0.1,53436
55,9.634551495017533,1.2868113915082067,0.1,54436
